Name,Description,Description2,ADDRESS,LAT,LONG,Description3,Description4,Description5,Description6,PIC_URL,THUMB_URL
Heritage,Archie Held,Civic Center Plaza,"440-450 Civic Center Plaza, Richmond, CA, 94804",37.93695204,-122.3434536,Sculpture,"Bronze, Stainless Steel, Water Elements with Granite Quote Ring and Four Benches ",43' diameter with 15' base x 18'height,2009,https://www.ci.richmond.ca.us/PhotoGallery/4//001copy.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//001copy.jpg
Back to the Future,Gordon Huether,City Hall,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Architectural Glass,"Etched, Laminated, Fluted, Dichroic Glass Collage ",Seven 10 x 35' panels,2009,https://www.ci.richmond.ca.us/PhotoGallery/4//002small.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//002small.jpg
"Digital Photograhy by Keith Silva ""Shoreline Series"", Miller Knox Park",Daniel Galvez,"City Hall, Elevator Floor 1","450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Etched Elevator Doors,Stainless Steel,"96 x 42""",2009,,
"Digital Photograhy by Keith Silva ""Shoreline Series"", Point Molate Beach Park",Daniel Galvez,"City Hall, Elevator Floor 2","450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Etched Elevator Doors,Stainless Steel,"96 x 42""",2009,https://www.ci.richmond.ca.us/PhotoGallery/4//003_small.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//003_small.jpg
"Digital Photograhy by Keith Silva ""Shoreline Series"", East and West Brother Island and Point San Pablo",Daniel Galvez,"City Hall, Elevator Floor 3","450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Etched Elevator Doors,Stainless Steel,"96 x 42""",2009,,
"Digital Photograhy by Daniel Galvez ""Woodland Series"", Camp Buckeye at Alvarado Park",Daniel Galvez,"440 Civic Center Plaza, Elevator Floor 1","440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Etched Elevator Doors,Stainless Steel,"96 x 42""",2009,https://www.ci.richmond.ca.us/PhotoGallery/4//004Woodlandsmall.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//004Woodlandsmall.jpg
"Digital Photograhy by Daniel Galvez ""Woodland Series"", The Wildcat Creek",Daniel Galvez,"440 Civic Center Plaza, Elevator Floor 2","440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Mural,Stainless Steel,"96 x 42""",2009,,
"Digital Photograhy by Daniel Galvez ""Woodland Series"", The Wildcat Creek Canyon Regional Park",Daniel Galvez,"440 Civic Center Plaza, Elevator Floor 3","440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Mural,Stainless Steel,"96 x 42""",2009,,
Birds Eye View,John Wehrle,"440 Civic Center Plaza, City Council Chambers Entrance Wall","440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Mural,Acrylic on Canvas,6 x 20',2009,https://www.ci.richmond.ca.us/PhotoGallery/4//005--Wall-Artsmall.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//005--Wall-Artsmall.jpg
The Richmond Revisited,Daniel Galvez,"Auditorium, Bermuda Room","440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Mural,Acrylic on Canvas,8x20',2009,https://www.ci.richmond.ca.us/PhotoGallery/4//006small.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//006small.jpg
